"code","iso","country","SHI.ind.1995","SHI.ind.1996","SHI.ind.1997","SHI.ind.1998","SHI.ind.1999","SHI.ind.2000","SHI.ind.2001","SHI.ind.2002","SHI.ind.2003","SHI.ind.2004","SHI.ind.2005","SHI.ind.2006","SHI.ind.2007","SHI.ind.2008","SHI.ind.2009","SHI.ind.2010","SHI.ind.2011","SHI.ind.2012","SHI.ind.2013","SHI.ind.2014","SHI.ind.2015","SHI.ind.2016","SHI.ind.2017","SHI.ind.2018","SHI.ind.2019","SHI.ind.2020"
4,"AFG","Afghanistan",100,100,100,100,100,100,100,98.5048964640802,97.0097929281602,95.5146893922405,94.7671376242806,94.3186065635046,93.1225237347687,92.2254616132168,91.7769305524408,91.4779098452569,90.7303580772968,90.5808477237049,90.5808477237049,90.7303580772968,90.7303580772968,90.7303580772968,90.7303580772968,90.7303580772968,90.7303580772968,90.7303580772968
8,"ALB","Albania",100,100,100,100,100,100,100,99.2524482320401,97.6078343425283,94.3186065635046,93.7205651491366,91.4779098452569,91.0293787844809,84.8994542872093,83.2548403976975,82.9558196905136,82.9558196905136,82.5072886297376,82.2082679225537,82.0587575689616,82.0587575689616,82.0587575689616,82.0587575689616,82.0587575689616,82.0587575689616,82.0587575689616
12,"DZA","Algeria",100,100,100,100,100,100,100,99.8504896464079,98.6544068176721,92.5244823204007,91.4779098452569,90.2818270165208,89.8332959557448,87.4411302982731,83.8528818120655,82.5072886297376,82.0587575689616,81.1616954474097,81.0121850938178,80.7131643866337,80.7131643866337,80.7131643866337,80.7131643866337,80.7131643866337,80.7131643866337,80.7131643866337
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",100,100,100,100,100,100,100,99.102937878448,98.3553861104882,97.1593032817523,96.7107722209763,96.1127308066083,95.2156686850565,94.6176272706885,93.1225237347687,92.2254616132168,91.3283994916648,90.132316662929,89.085744187785,88.3381924198251,88.3381924198251,88.3381924198251,88.3381924198251,88.3381924198251,88.3381924198251,88.3381924198251
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"ARG","Argentina",100,100,100,100,100,100,100,98.5048964640802,95.9632204530164,93.1225237347687,90.8798684308889,88.786723480601,86.8430888839053,83.4043507512896,81.3112058010017,78.320998729162,75.4803020109143,72.6396052926666,70.5464603423788,69.3503775136429,69.3503775136429,69.3503775136429,69.3503775136429,69.3503775136429,69.3503775136429,69.3503775136429
51,"ARM","Armenia",100,100,100,100,100,100,100,99.2524482320401,98.8039171712641,98.5048964640802,98.0563654033042,98.0563654033042,97.4583239889362,97.1593032817523,96.5612618673843,96.4117515137924,95.9632204530164,94.6176272706885,93.8700755027286,92.3749719668086,92.3749719668086,92.3749719668086,92.3749719668086,92.3749719668086,92.3749719668086,92.3749719668086
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
