"code","iso","country","FSS.ind.1995","FSS.ind.1996","FSS.ind.1997","FSS.ind.1998","FSS.ind.1999","FSS.ind.2000","FSS.ind.2001","FSS.ind.2002","FSS.ind.2003","FSS.ind.2004","FSS.ind.2005","FSS.ind.2006","FSS.ind.2007","FSS.ind.2008","FSS.ind.2009","FSS.ind.2010","FSS.ind.2011","FSS.ind.2012","FSS.ind.2013","FSS.ind.2014","FSS.ind.2015","FSS.ind.2016","FSS.ind.2017","FSS.ind.2018","FSS.ind.2019","FSS.ind.2020"
4,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"ALB","Albania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,"DZA","Algeria",35.9134148471483,34.2309237498378,34.3337694827251,34.5430744179238,35.2020531064883,36.0376706020148,35.3167573727167,35.3167573727167,32.3474204460251,32.1022359808928,31.4794532038915,32.3060872527345,30.8269964187292,26.5898571144592,18.6752535887784,14.4114961422112,13.7078047930329,13.5237333867763,8.85774977863942,1.88071442641703,1.88071442641703,1.88071442641703,1.88071442641703,1.88071442641703,1.88071442641703,1.88071442641703
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",7.71386223815412,5.66593988121919,6.57540114784496,8.79485873350079,10.6520002889777,11.3943537942571,10.9014829779947,9.32979715250926,9.62610811630367,8.99097163274247,9.52192747072476,13.288976197208,11.9413555286493,13.4230833956147,12.6470120099027,17.0205796984397,16.5471791256403,15.9969283239887,15.9503523924126,16.9090906958998,16.9090906958998,16.9090906958998,16.9090906958998,16.9090906958998,16.9090906958998,16.9090906958998
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",5.17069470223251,36.4866701364474,37.3129960717739,11.8653406144385,46.1776275173696,3.8582322960544,3.52575402638129,13.1325925030536,16.2198243472204,15.9835961728572,15.3535075667368,16.2061563768458,15.3039771970865,11.1154752905473,8.73537044163238,8.33533337155703,15.3970725569967,16.7190720557837,11.4906217952575,1.35205602561796,1.35205602561796,1.35205602561796,1.35205602561796,1.35205602561796,1.35205602561796,1.35205602561796
32,"ARG","Argentina",33.2626486134533,35.088799794258,33.6374885800935,15.9304652120477,10.2780101684101,6.594053295498,9.4477893989791,6.825752612331,8.5302199947338,7.13026488516654,15.2363172690958,12.6332561460554,17.1334745187353,10.3700533545784,8.72352006753457,3.72680517900679,2.19641818645643,1.18723005100171,0.588856230612379,0.709002361677193,0.709002361677193,0.709002361677193,0.709002361677193,0.709002361677193,0.709002361677193,0.709002361677193
51,"ARM","Armenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"AUS","Australia",14.0750293754619,14.2222246929064,13.8010575401231,14.0904952068719,12.8588967075085,13.7101736683475,11.6084505341267,10.917369473927,8.94638987270319,8.27033423510741,7.30009160328409,6.81940633261181,6.61833888825528,6.05307356819026,4.82854746404652,3.16811728208121,1.84385044792708,1.46744177576113,1.16325645029499,0.749583857414095,0.749583857414095,0.749583857414095,0.749583857414095,0.749583857414095,0.749583857414095,0.749583857414095
40,"AUT","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"AZE","Azerbaijan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"BHS","Bahamas",15.7924782453624,26.4816230873482,28.3136766047701,27.5304876518799,25.2380982643672,22.7807441054843,16.7553022642482,18.0750198617201,18.9678968504498,25.9187479539225,24.5533628494183,16.5471791256403,11.9583357355525,8.39506746544458,9.0644823705895,10.2815328491693,10.8675634312292,11.0384610009029,10.4057080739369,9.36789479443867,9.36789479443867,9.36789479443867,9.36789479443867,9.36789479443867,9.36789479443867,9.36789479443867
48,"BHR","Bahrain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"BGD","Bangladesh",73.7805001207961,73.7805001207961,73.7805001207961,73.7805001207961,65.8686775339352,67.8172147475992,56.7783111712867,50.9325555731874,47.4256664677267,46.3739235236454,46.1776275173696,45.7974931162615,40.6902907826717,38.7158682452113,35.4329502539922,34.8665023747789,32.3474204460251,32.5995087532895,32.8151437058189,34.4902876796911,34.4902876796911,34.4902876796911,34.4902876796911,34.4902876796911,34.4902876796911,34.4902876796911
