"code","iso","country","SPI.ind.1995","SPI.ind.1996","SPI.ind.1997","SPI.ind.1998","SPI.ind.1999","SPI.ind.2000","SPI.ind.2001","SPI.ind.2002","SPI.ind.2003","SPI.ind.2004","SPI.ind.2005","SPI.ind.2006","SPI.ind.2007","SPI.ind.2008","SPI.ind.2009","SPI.ind.2010","SPI.ind.2011","SPI.ind.2012","SPI.ind.2013","SPI.ind.2014","SPI.ind.2015","SPI.ind.2016","SPI.ind.2017","SPI.ind.2018","SPI.ind.2019","SPI.ind.2020"
4,"AFG","Afghanistan",10.8541735597838,10.8541735597838,10.8541735597838,10.8541735597838,10.8541735597838,10.8541735597838,10.8541735597838,10.8541735597838,10.8541735597838,10.8541735597838,10.8541735597838,10.8541735597838,10.8541735597838,10.8541735597838,18.0430629560187,18.0430629560187,18.0430629560187,18.0430629560187,18.0430629560187,18.0430629560187,18.0430629560187,18.0430629560187,18.0430629560187,18.0430629560187,18.0430629560187,18.0430629560187
8,"ALB","Albania",29.2852389647677,45.4227709728664,46.0416862958335,46.0416862958335,53.5332007954188,53.5332007954188,53.5332007954188,54.1113994857732,54.1113994857732,54.1113994857732,72.4790727930887,76.2594703491371,79.7298522872325,85.0114910012527,85.0114910012527,86.0792112264604,87.2172702858627,88.4898738496651,90.7186011139444,90.7186011139444,90.7186011139444,90.7186011139444,90.7186011139444,92.1638455184854,92.1638455184854,92.1638455184854
12,"DZA","Algeria",41.5183787102804,41.5183787102804,41.5183787102804,41.5183787102804,41.5183787102804,41.5183787102804,41.5183787102804,41.5183787102804,41.5183787102804,41.5183787102804,41.5183787102804,41.5183787102804,41.5183787102804,41.5183787102804,41.5183787102804,41.5183787102804,41.5183787102804,47.275039712787,47.275039712787,47.275039712787,47.275039712787,47.275039712787,47.275039712787,47.275039712787,47.275039712787,47.275039712787
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",66.6215078642781,66.6215078642781,66.6215078642781,66.6215078642781,66.6215078642781,66.6215078642781,66.6217275039245,66.6217275039245,66.6217275039245,66.6221143436013,66.6236110141749,66.6244761235338,66.6257561539326,66.6257561539326,66.6258587692549,66.6258587692549,66.6258587692549,66.6260253635766,66.6261365508934,66.6261365508934,66.6261365508934,66.6261365508934,66.6261365508934,66.6261365508934,66.6261365508934,66.6261365508934
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"ARG","Argentina",53.1947004711961,54.3504156821825,55.5627393372342,55.7177598945563,57.2842438340152,59.2891605429396,59.5158628789695,59.9400081914348,61.363581538653,61.6815052749532,62.3471852603196,62.7049464095673,62.7280551661632,62.7608703346608,62.8091332187296,62.8157352777031,62.9550572070017,63.0651914797724,63.0848423625119,63.2535046452154,63.4856613776706,63.493838629229,63.5932031646995,64.2749151809361,64.2749151809361,64.2749151809361
51,"ARM","Armenia",61.0721812999941,61.0721812999941,61.0721812999941,61.0721812999941,61.0721812999941,61.0721812999941,61.0941276436199,67.4894897415969,67.8842670163919,67.8842670163919,67.8842670163919,67.8842670163919,68.0008976699684,68.0008976699684,74.2260800310306,74.2260800310306,74.4985583750801,74.4985583750801,74.4985583750801,74.4985583750801,74.4985583750801,74.4985583750801,74.4985583750801,74.4985583750801,74.4985583750801,74.4985583750801
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"AUS","Australia",61.2469266040087,61.6775502280941,62.2408800698483,62.7354276134405,65.5762922417269,66.9447901666041,67.6028302356141,68.9386545801439,70.7114805385257,71.8357481681344,72.6259027340491,74.3318826962201,75.4901750991532,79.047980327854,81.1022648835454,83.5318199401432,86.2511531909217,87.0776925777132,88.2585447325993,89.3057027642876,89.7980894299455,91.0420870005322,91.6477655498566,92.3909172275301,92.3909172275301,92.3909172275301
40,"AUT","Austria",80.247663011824,81.1567934717958,81.1567934717958,81.1567934717958,81.1567934717958,81.1573291223742,81.1573291223742,81.1573291223742,81.1573291223742,81.1573291223742,81.1573291223742,81.1573291223742,81.1573291223742,81.1573291223742,81.1573291223742,81.1573291223742,81.1573291223742,81.1573291223742,81.1792093733119,81.1792093733119,81.1792093733119,81.1792093733119,81.1792093733119,81.1792093733119,81.1792093733119,81.1792093733119
31,"AZE","Azerbaijan",62.2099564532907,62.2857813613453,62.2857813613453,62.2857813613453,62.2857813613453,62.2857813613453,62.2857813613453,62.2857813613453,66.2738053373754,70.0757957503356,70.2842107813604,74.3861987292349,74.3861987292349,75.9546933736337,76.8500591747913,76.8500591747913,76.8500591747913,76.8500591747913,76.8500591747913,76.8500591747913,76.8500591747913,76.8500591747913,76.8500591747913,77.2667256751791,77.2667256751791,77.2667256751791
44,"BHS","Bahamas",2.81832470499631,2.81832470499631,24.522357948623,24.522357948623,24.522357948623,24.522357948623,24.522357948623,30.1135816583611,30.1135816583611,30.1135816583611,30.1135816583611,30.1135816583611,30.1135816583611,30.1135816583611,30.1224516168785,30.1224516168785,30.1224516168785,30.1224516168785,30.1224516168785,30.1224516168785,32.4723661409632,32.4723661409632,32.4723661409632,32.4723661409632,32.4723661409632,32.4723661409632
48,"BHR","Bahrain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"BGD","Bangladesh",45.7086890766122,46.1208521075319,46.1208521075319,46.1208521075319,47.1119954517855,47.1119954517855,47.1634165400821,47.1634165400821,47.1634165400821,47.2304503044807,47.3564728629001,47.7388106278858,48.0549604170162,48.0549604170162,48.7313831793856,51.3078369174761,51.5232914121449,51.9266981677102,52.2394311619318,52.2394311619318,52.2394311619318,52.2394311619318,52.2394311619318,52.2394311619318,52.2394311619318,52.2394311619318
52,"BRB","Barbados",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
