"code","iso","country","FGA.ind.1995","FGA.ind.1996","FGA.ind.1997","FGA.ind.1998","FGA.ind.1999","FGA.ind.2000","FGA.ind.2001","FGA.ind.2002","FGA.ind.2003","FGA.ind.2004","FGA.ind.2005","FGA.ind.2006","FGA.ind.2007","FGA.ind.2008","FGA.ind.2009","FGA.ind.2010","FGA.ind.2011","FGA.ind.2012","FGA.ind.2013","FGA.ind.2014","FGA.ind.2015","FGA.ind.2016","FGA.ind.2017","FGA.ind.2018","FGA.ind.2019","FGA.ind.2020"
4,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"ALB","Albania",0,0,0,0,0,0,18.915822122593,40.1998939962171,51.079315161393,57.1230476662209,59.1283680614733,60.1531305584284,64.7722096786254,68.9309375334558,72.6087039586277,76.1879882980647,79.6453914531117,82.9318521740311,85.549547958242,87.2699202237318,88.0919837162337,88.8966926373025,89.4443860851809,89.4443860851809,89.4443860851809,89.4443860851809
12,"DZA","Algeria",96.3346511265812,96.3346511265812,96.3346511265812,96.3346511265812,96.3346511265812,88.8896044304371,83.5061050622909,79.3905486031826,77.4205658659227,77.9814790797673,81.4967055178178,84.0945979786583,86.4903564250666,87.9054741210163,88.3505385970518,88.0674416140318,88.1033696499366,88.3227629128008,88.687631541979,89.1407313835283,89.704358876834,90.2239275113299,90.6624283951654,90.6624283951654,90.6624283951654,90.6624283951654
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",0,0,0,0,0,0,0,0,0,0,0,7.97855861376667,18.0274092970376,30.2702423561999,45.4694421127226,60.0125045501305,70.6344523213072,77.6773478591905,83.4972406955047,87.2048342654586,87.6534902602899,88.7060531268423,89.319790650321,89.319790650321,89.319790650321,89.319790650321
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",0,0,0,0,0,5.60992355514929,26.0466362167456,45.9187399103842,57.3164871458647,64.7283948603494,69.8544483092468,73.1589746184247,76.3332326328222,78.9066596849394,80.7370112662674,82.1719358043885,83.8670137505867,85.5575603407229,87.0947827135261,88.1540908354188,88.8051409525498,89.3730948043419,89.8475548147624,89.8475548147624,89.8475548147624,89.8475548147624
32,"ARG","Argentina",100,100,100,100,100,100,100,100,96.2050218645103,90.0890250532328,88.3790564085443,89.4462859016878,84.8067150477451,83.2617301436217,82.0754648028554,82.7525622882935,85.4785576481273,88.1882838895743,88.591762202532,87.3339799067222,88.2640783304287,92.4406505552267,90.6923423366091,90.6923423366091,90.6923423366091,90.6923423366091
51,"ARM","Armenia",0,0,0,0,0,11.4934920169806,22.072927353126,37.1351715970217,45.1437812229171,49.0365009121793,48.8214977438055,49.6981514521853,52.66076018403,56.5887550312628,61.9842886247738,68.3364993732048,75.0003125731383,80.4729871487291,84.4604643279527,87.1023234779881,87.8531491541347,88.8279849260546,89.442790914841,89.442790914841,89.442790914841,89.442790914841
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
